exit	﻿η έξοδος
δακτύλιος, ο 	ring, torus
δαμάσκηνο, το 	plum
δανείζομαι	borrow [v]
δανείζω	lend [v]
δάσος, το 	forest
δάχτυλο, το 	1. finger 2. toe
δείγμα, το 	sample
δειλινό, σούρουπο, το 	dusk
δείχνω	indicate, show [v]
δελεάζω	tempt [v]
δέκα	ten [num]
δέμα, πακέτο, το 	package, packet, parcel
δέμα, το, σωρός, ο	bundle, bunch
δεν	not [av]
δέντρο, το 	tree
δένω	tie, bind [v]
δεξιό (-ξιά, -ξιός)	right (the direction) [aj]
δέρμα, το 	1. leather 2. skin
δευτερόλεπτο, το 	second (1/60th of a minute)
δέχομαι	accept [v]
δηλητήριο, το 	poison, toxin
δημιουργώ, φτιάχνω, κάνω	create, make [v]
δημόσιο (-ια, -ιος)	public [aj]
διά, διαμέσου	through [pr,av]
διαβάζω	read [v]
διάβρωση, η 	corrosion
διάγραμμα, το 	chart, diagram
διαγώνιο (-ια, -ιος)	diagonal [aj]
διαδικασία, η 	process, procedure
διαθέτω	provide, supply, furnish [v]
διαιρώ	divide [v]
διαιτητής, ο 	umpire, referee, official
διαλέγω, επιλέγω	choose, pick up, select, compile [v]
διαλύω	dissolve [v]
διαμαρτυρία, η 	protest, objection
διάρκεια, η 	duration
διάσημο (-μη, -μος)	famous [aj]
διαστέλλομαι, επεκτείνω	expand, extend [v]
διάστημα, το 	1. interval 2. space (the outer space)
διατηρώ	preserve, maintain [v]
διαφήμιση, η 	advertisement, commercial
διαφορετικό (-κή, -κός)	different [aj]
διδάσκω	teach [v]
διεθνές (-νής, -νής)	international [aj]
διευρυμένο (-νη, -νος)	1. flared [aj] 2. expanded
διεύθυνση, η 	address
διεύθυνση, κατεύθυνση, η 	direction
διήγημα, το, διήγηση, αφήγηση, η	story, report
δίκαιο (-αιη, -αιος), ακριβοδίκαιο (-αιη, -αιος)	just, fair, equitable [aj]
δικαίωμα, το 	right, just claim
δικαστήριο, το 	court (of law)
δίκη, η 	trial (in court)
δικτάτορας, τύραννος, ο 	dictator, tyrant
δίνω	give [v]
διορθώνω, φτιάχνω	repair, fix, mend [v]
διπλώνω	fold [v]
δίσκος, ο 	1. disk, disc 2. tray
διστάζω	hesitate [v]
δίχτυ, το 	net
δοκιμάζω, επιχειρώ	try, attempt, endeavor [v]
δόντι, το 	tooth
δορυφόρος, ο 	satellite
δουλειά, εργασία, η 	job, employment
δοχείο, το 	container
δράκος, ο 	dragon
δραστηριότητα, η 	activity, bustle, ado
δρόμος, ο 	road, way
δύναμη, η 	1. force (the concept in physics) 2. strength
δυνατό (-τή, -τός)	1. loud [aj] 2. possible [aj]
δύο, δυο	two [num]
δύση, η 	west
δυσκολία, η, πρόβλημα, το	difficulty, trouble
δύσκολο (-λη, -λος)	difficult, hard [aj]
δυστύχημα, το 	accident
δωμάτιο, το 	room
εβδομάδα, η 	week
εγγραφή, η 	record (one of many entries in a file)
έγγραφο, το 	document
έγκαιρο (-ρη, -ρος)	timely, prompt, on time [av/aj]
έγκλημα, το 	crime
εγκρίνω	approve [v]
εγώ	I [pn]
εδώ	here [av]
έθνος, το 	nation
ειδικό (-κή, -κός)	special [aj]
είδος (έμβιου όντος), το 	species
είδος, το, τύπος, ο	kind, sort, type
εικόνα, η 	image, icon
είμαι	be [v]
ειρήνη, η 	peace
εις	at (in the same location as) [pr]
εισιτήριο, το 	ticket
εκατομμύριο, το 	million [num]
εκατό	hundred [num]
εκδίκηση, η 	revenge, vengeance, retribution
έκδοση, η 	1. issue, edition 2. extradition
εκεί	there [av]
εκείνο (-νη, -νος)	that (demonstrative) [aj/pn]
εκκλησία, η 	church
εκλέγω	elect [v]
έκλειψη, η 	eclipse
εκπέμπω	emit [v]
εκρήγνυμαι	explode [v]
εκστρατεία, η 	campaign
εκτρέπω	turn, divert [v]
εκτός	outside of, exterior to [av]
εκτός, εκτός από	except for, besides, apart from, excluding [av]
ελαστικό, το 	rubber
ελαστικό (-κή, -κός)	elastic [aj]
ελατήριο, το 	spring (metal helix)
ελάττωμα, ατέλεια	flaw, defect, imperfection
ελαττώνω	decrease [v]
ελάφι, το 	deer
ελαφρύ (-ριά, -ρύς)	light (of little weight) [aj]
ελάχιστο (-τη, -τος)	least (smallest quantity of) [aj]
ελέγχω	1. control [v] 2. test, check [v]
έλεος, το 	mercy
ελεύθερο (-ρη, -ρος)	free [aj]
ελιά, η 	olive
έλικας, ο 	helix
ελισσόμενο (-νη, -νος)	serpentine, meandering, convoluted [aj]
έλκω	attract [v]
έλλειψη, η 	1. ellipse 2. scarcity, dearth
έλος, το 	marsh
ελπίζω	hope [v]
εμβαδόν, το 	area (in the geometric sense)
έμβρυο, το 	fetus (foetus), embryo
εμπιστεύομαι	trust [v]
εμποδίζω, αποτρέπω	hinder, prevent [v]
εμπόδιο, το 	barrier, obstacle
εμπόρευμα, το 	merchandise, goods, wares
εμπόριο, το 	business, commerce
εμπρός	front
ένα	one [num]
ένα (μία, ένας)	a [det]
εναλλάσσω	alternate, take turns [v]
ένδειξη, η 	evidence
ενδιαφέρον, το 	1. care, concern 2. interest, fascination
ενέργεια, η 	energy
ενήλικος, ο 	adult
ενθουσιασμός, ο 	enthusiasm
εννέα	nine [num]
ένορκοι, οι 	jury
ένοχο (-χη, -χος)	guilty [aj]
έντερο, το 	intestine, gut
εντολή, διαταγή, η 	command, order, directive
έντομο, το 	insect
εντοπίζω	detect, spot [v]
εντός	in, inside of [av]
εντούτοις	however, though [cj]
ενώνω	unite [v]
εξαντλώ	exhaust, use up [v]
εξάπτω, αναμοχλεύω	stir, agitate [v]
εξαρτώμαι	depend on [v]
εξατμίζομαι	evaporate [v]
εξετάζω, επιθεωρώ	examine, inspect [v]
εξήγηση, η 	explanation
έξι	six [num]
εξόγκωμα, το 	bump, protrusion
εξοχή, η 	countryside, country
εξφενδονίζω	shoot [v]
εξωτερικό (-κή, -κός)	outer, exterior, external [aj]
επαναφέρω	retrieve, fetch [v]
επαρχία, η 	province, prefecture
επαρχιακό (-κή, -κός), αγροτικό (-κή, -κός)	rural [aj]
επειδή, γιατί, διότι	because of, due to [cj]
επενδύω	invest [v]
επερώτηση, η 	query
επί, πάνω	on [pr,av]
επιβραβεύω	reward [v]
επιδεικνύω	exhibit, display, show off [v]
επιθυμώ	wish, desire [v]
επικοινωνία, η 	communication
επικρίνω, κατακρίνω	criticize, criticise [v]
επίπεδο, το 	plane (flat surface)
επίπεδο (-δη, -δος)	flat, planar [aj]
επιπλέω	float [v]
έπιπλο, το 	furniture
επιπρόσθετα	additionally, in addition [av]
επίσημο (-μη, -μος)	official [aj]
επίσης, και	also, too [av]
επισκέπτομαι	visit [v]
επιστήμη, η 	science
επιστρέφω	return [v]
επιτίθεμαι	attack [v]
επιταγή, η 	check (money order)
επιτελώ, εκτελώ	perform [v]
επιτρέπω, αφήνω	permit, allow, let [v]
επιτροπή, η 	committee
επιφάνεια, η 	surface
επόμενο (-νη, -νος)	next [aj]
εποχή, η 	1. era, epoch 2. season
επτά	seven [num]
εργαλείο, το 	tool
εργασία, δουλειά, η 	work, effort, labor, toil
έργο, το 	movie, motion picture
έργο, το, ανάθεση, η	project, undertaking
έργο, το, αποστολή, η	task, chore, assignment
έργο, θέατρο, το 	play, drama
εργοστάσιο, το 	factory
έρημος, η 	desert
ερπετό, το 	reptile
έρπω	crawl [v]
έρχομαι	come [v]
ερωτηματικό (-κή, -κός)	interrogative [aj]
ερώτηση, η 	question
εσύ	you [pn]
εσωτερικό (-κή, -κός)	inner, internal, interior [aj]
εταιρεία, επιχείρηση, η 	company, firm
ετικέττα, η 	label
έτοιμο (-μη, -μος)	ready, prepared [aj]
έτος, το, χρόνος, ο	year
ευγενικό (-κή, -κός)	kind, polite [aj]
ευγνώμων	grateful, thankful [aj]
εύθραυστο (-τη, -τος)	fragile, delicate [aj]
ευκαιρία, η 	chance, opportunity
εύκολο (-λη, -λος)	easy [aj]
ευλογώ	bless [v]
ευλύγιστο (-τη, -τος)	flexible [aj]
ευφυές (-υής, -υής)	intelligent [aj]
ευχαρίστηση, η 	pleasure
ευχάριστο (-τη, -τος)	nice, pleasant [aj]
ευχαριστώ	thank [v]
εφαρμοστό (-τή, -τός)	snug, tight [aj]
εφευρίσκω	invent [v]
εφημερίδα, η 	newspaper
εχθρός, ο 	enemy
έχω	have [v]
ζάχαρη, η 	sugar
ζελέ, το 	jelly, gel
ζέστη, η 	heat, warmth
ζεστό (-τή, -τός)	warm [aj]
ζήλεια, η 	jealousy, envy
ζήλος, ο 	zeal
ζητώ	request, ask for [v]
ζυγαριά, η 	scales
ζυμαρικά, τα 	pasta, noodles
ζύμη, η 	paste
ζωντανό (-νή, -νός)	alive [aj]
ζώ	live [v]
ζώνη, η 	belt
ζώο, το 	animal
η	the (feminine) [det]
ή	or [cj]
ήδη	already [av]
ηλεκτρισμός, ο 	electricity
ηλίθιο (-θια, -θιος)	idiot, idiotic [aj]
ηλικία, η 	age
ήλιος, ο 	sun
ηλιοτρόπιο, το 	sunflower
ημέρα, η 	day (daytime, while there is still light)
ημερομηνία, η 	date (coordinates of a day)
ηφαίστειο, το 	volcano
ήχος, ο 	sound
θα	will, shall [particle]
θα έπρεπε, θάπρεπε	should, ought to [aux]
θάλαμος, ο 	chamber
θάλασσα, η 	sea
θάμνος, ο 	bush, shrub
θάρρος, το 	courage, bravery
θαύμα, το 	miracle
θαυμάζω	admire [v]
θαυμαστικό, το 	exclamation mark
θαυμαστικό (-κή, -κός)	exclamatory [aj]
θέα, η 	view
θεά, η 	goddess
θέατρο, το 	theater, theatre
θειάφι, το 	sulfur
θέλω	want [v]
θέμα, αντικείμενο, το 	subject, topic
θεμέλιο, το 	foundation
θεός, ο 	god
θεότητα, η 	deity
θερίζω	harvest, reap [v]
θερμοκρασία, η 	temperature
θέση, η 	position
θετικό (-κή, κός)	positive [aj]
θεωρία, η 	theory
θεωρώ	consider, take into account [v]
θήκη, η 	sheath
θηλή, η 	nipple
θηλαστικό, το 	mammal
θηλειά, η, βρόχος, ο	loop, closed curve
θηλυκό (-κή/-κιά, -κός)	feminine [aj]
θόλος, ο 	dome
θόρυβος, ο, φασαρία, η	noise
θρησκεία, η 	religion
θυμάμαι	remember [v]
θυμός, ο 	anger
θυμωμένο (-νη, -νος)	angry [aj]
ιδιαίτερο (-ρη, -ρος)	specific, particular [aj]
ιδέα, η 	idea
ιδεόγραμμα, το 	ideogram, glyph
ίδιο (-ια, -ιος)	same [aj]
ιδιωτικό (-κή, -κός)	private [aj]
ιδρώτας, ο 	sweat, perspiration
ιερό (-ρή, -ρός)	holy, sacred [aj]
ιερογλυφικό, το 	hieroglyph
ικανοποίηση, η 	satisfaction
ικανότητα, η 	ability, capacity
ιός, ο 	virus
ίριδα, η 	1. iris (of eye) 2. rainbow colors
ίσιο (ίσια, ίσιος)	straight [aj]
ίσο (ίση, ίσος)	equal [aj]
ισορροπία, η 	balance, equilibrium
ισοϋψές (-ψής, -ψής)	level, even (on the same level) [aj]
ιστίο, το 	sail
ιστορία, η 	history
ισχυρισμός, ο 	claim, assertion
ισχύς, η 	power
ίσως, μπορεί	maybe, perhaps [av]
καβαλάω	ride [v]
καθαρό (-ρή, -ρός)	clean [aj]
κάθε	every, each [aj]
κάθε, όποιο (όποια, όποιος)	any (no particular one of) [aj]
κάθομαι	sit [v]
καθρέφτης, ο 	mirror
καθυστερώ	delay, retard, tarry [v]
και	and [cj]
καιρός, ο 	weather
καίω	burn [v]
κακό (-κή, -κός)	1. bad [aj] 2. evil [aj]
καλάθι, το 	basket
καλαμπόκι, το 	corn
κάλιο, το 	potassium
καλό (-λή, -λός)	good [aj]
καλοκαίρι, το 	summer
καλσόν, το 	stocking, hose
κάλτσα, η 	sock
καλώ	call, summon [v]
καλώδιο, το 	cord, cable
καμινάδα, η 	chimney
καμπάνα, η 	bell (of church)
καμπύλη, η 	curve
κανάλι, το 	canal, channel
κανόνας, ο 	rule
κανόνι, το 	cannon
κανονικό (-κή, -κός), φυσιολογικό (-κή, -κός)	normal, ordinary, regular [aj]
κανονισμός, ο 	regulation
καντράν, το 	dial
κάνω	1. do [v] 2. make, render [v]
καπάκι, το 	cover
καπέλο, το 	hat, cap
καπνός, ο 	1. smoke 2. tobacco
καπρίτσιο, το 	whim, caprice
κάρβουνο, το 	coal
καρδιά, η 	heart
καρέκλα, η 	chair (the furniture)
καρότο, το 	carrot
καρούλι, το 	spool, reel
καρπός, ο 	1. fruit, nut, product of plant 2. wrist
καρπούζι, το 	watermelon
κάρρο, καρρότσι, το 	cart, carriage
κάρτα, η 	card
καρφί, το 	nail (the tool)
κασσίτερος, ο 	tin (metal)
κατά	against [pr]
κατά τη διάρκεια	during [av]
καταιγίδα, η 	storm
κατακόρυφο (-φη, -φος)	vertical [aj]
καταλαβαίνω	understand, comprehend [v]
κατάλληλο (-λη, -λος)	suitable, proper, fit, fitting, appropriate [aj]
καταναλώνω	consume [v]
καταπίνω	swallow [v]
κατάρα, η 	curse
καταριέμαι	curse, damn [v]
κατασκήνωση, η 	camp, bivouac
κατασκευάζω	construct [v]
κατάσταση, η, στάτους, το	condition, state, status
κατάστημα, μαγαζί, το 	store, shop
καταστρέφω	destroy, damage [v]
καταστροφή, η 	disaster, catastrophe
καταφύγιο, το 	shelter, refuge
κατέχω, έχω στην κατοχή μου	own, possess [v]
κατηγορία, η 	1. category 2. accusation
κατηγορώ	blame [v]
κατοικώ, διαμένω	reside, dwell, live [v]
κατσαρίδα, η 	cockroach, roach
κατσαρόλα, η 	pot
κατσίκα, η 	goat
κάτω	down [av]
κάτω από	under
καύσιμο, το 	fuel
καυτό (-τή, -τός)	hot [aj]
καφέ (-φετιά/-φέ, -φές/-φέ)	brown [aj]
καφές, ο 	coffee
κείτομαι	lie (recline horizontally) [v]
κέλυφος, το 	shell
κενό, το 	vacuum
κέντρο, το 	center, centre
κέρατο, το 	horn (animal's bone-like growth)
κέρδος, το 	profit, gain
κερί, το 	1. candle 2. wax
κεφάλαιο, το 	1. chapter (main division of book) 2. capital
κεφάλι, το 	head
κήπος, ο 	garden
κιθάρα, η 	guitar
κιμωλία, η 	chalk
κίνδυνος, ο 	danger
κίτρινο (-νη, -νος)	yellow [aj]
κλέβω	steal [v]
κλαίω	cry, weep [v]
κλαδί, το 	branch (of tree)
κλειδαριά, η 	lock
κλειδί, το 	key (for operating lock)
κλείνω	close, shut [v]
κλειστό (-τή, -τός)	closed, shut [aj]
κλεψύδρα, η 	hourglass
κλουβί, το 	cage
κλωστή, η 	thread, filament
κλωτσάω	kick [v]
κόβω	cut [v]
κοιλάδα, η 	valley
κοιλία, η 	abdomen
κοιλιά, η 	belly
κοιμάμαι	sleep [v]
κοινό (-νή, -νός)	common [aj]
κοινό, το, λαός, ο	public, populace, the people
κοινότητα, η 	community
κόκκαλο, το 	bone
κόκκινο (-νη, -νος)	red [aj]
κόλαση, η 	hell
κολλάω	adhere, glue [v]
κολοσσιαίο (-αία, -αίος)	colossal [aj]
κόλπο, τρικ, το 	trick, chicanery
κολυμπάω	swim [v]
κόμβος, ο 	node
κόμμα, το 	1. comma 2. party (political)
κομμάτι, το 	piece
κονσέρβα, η 	can, tin
κοντά	1. near [av] 2. near, close to [pr]
κοντινό (-νή, -νός)	near [aj]
κοντό (-ντή, -ντός)	short (of little length) [aj]
κοντό παντελόνι, το 	shorts, trunks
κορδόνι, το, σπάγγος, ο	string
κόρη, η 	daughter
κόρη οφθαλμού, η 	pupil (of eye)
κορίτσι, το 	girl
κόρνα, η 	horn (one that makes noise when blown)
κορνίζα, η 	frame (of painting, picture, etc.)
κορυφή, κορφή, η 	top, peak, summit
κόσμος, ο 	1. cosmos, world 2. people (many human beings)
κοτόπουλο, το 	chicken
κουβάς, ο 	bucket
κουβέρτα, η 	blanket
κουδούνι, το 	bell (of house, school, etc.)
κούκλα, η 	doll, effigy
κουλτούρα, η 	culture
κουμπί, το 	button
κουνάω	shake [v]
κουνέλι, το 	rabbit
κουνούπι, το 	mosquito
κουπί, το 	paddle, oar
κουπόνι, το 	coupon
κουρασμένο (-νη, -νος)	tired, weary [aj]
κουρτίνα, η 	curtain
κουτάλι, το 	spoon
κουτί, το 	box
κράνος, το 	helmet
κρασί, το 	wine
κρατάω	hold, grasp [v]
κρατάω, κατακρατάω	keep, retain [v]
κρεβάτι, το 	bed
κρεμάω	hang, suspend, dangle [v]
κρεμμύδι, το 	onion
κρίνω	judge [v]
κρύβω	hide, conceal [v]
κρύο (κρύα, κρύος)	cold [aj]
κρύσταλλο, το 	crystal (glass of high quality)
κρύσταλλος, ο 	crystal (solidified compound)
κτητικό (-κή, -κός)	possessive [aj]
κτίριο, το 	building, edifice
κυβέρνηση, η 	government
κύβος, ο 	cube
κύκλος, ο 	1. circle 2. cycle
κύκλωμα, το 	circuit
κυλάω	roll [v]
κύλινδρος, ο 	cylinder
κύμα, το 	wave
κυνηγάω	hunt, pursue, chase [v]
κύριο (-ια, -ιος)	chief, main, primary, principal [aj]
κύριος, ο 	master, lord
κώδικας, ο 	code
κωμικό (-κή, -κός)	comical [aj]
κώνος, ο 	cone
λαβίδα, πένσα, η 	tongs
λαγός, ο 	hare
λάδι, το 	oil (extracted from living plants)
λαιμός, ο 	throat, neck
λαμβάνω	receive [v]
λάμπα, η 	lamp
λαμπρός	bright, shiny [aj]
λάμπω	shine [v]
λανθασμένο (-νη, -νος)	wrong, incorrect [aj]
λαός, κόσμος, ο 	people (a people), folk
λάσπη, η 	mud
λάχανο, το 	cabbage
λαχανικά, τα 	vegetables
λείο (λεία, λείος)	smooth [aj]
λεκές, ο 	blemish, spot
λέξη, η 	word
λεξικό, το 	dictionary
λεξιλόγιο, το 	vocabulary
λεπίδα, η 	blade
λεπτομέρεια, η 	detail
λεπτό, το 	minute (1/60th of an hour/degree)
λεπτό (-τή, -τός), ψιλό (-λή, -λός)	thin, slender [aj]
λεπτόρρευστο (-τη, -τος)	thin (of little viscosity) [aj]
λέσχη, η 	club, society
λεφτά, χρήματα, τα 	money
λέω, αναφέρω	say, tell [v]
λεωφορείο, το 	bus
λιβάδι, το 	field (expanse of land), meadow
λίγα (-γες, -γοι)	few [aj]
λίγο	little (to a small degree) [av]
λίγο (-γη, -γος)	little (a small quantity of) [aj]
λιγότερο (-ρη, -ρος)	less [aj]
λιμάνι, το 	port
λίμνη, η 	lake
λινάρι, το 	flax
λιοντάρι, το 	lion
λίπος, το 	fat
λίστα, η 	list
λογαριασμός, ο 	1. account (of money) 2. bill, invoice
λογική, η 	logic
λόγος, ο, αιτία, η	reason, justification, rationale
λόγος, ο, ομιλία, η	speech, talk
λόγος, ο, αναλογία, η	ratio, proportion
λοξό (-ξή, -ξός)	slanted [aj]
λουκάνικο, το 	sausage
λουλούδι, το 	flower
λουρί, το 	strap
λόφος, ο 	hill
λυγισμένο (-νη, -νος)	bent [aj]
λυκαυγές, το 	twilight (before sunrise)
λύκος, ο 	wolf
λυκόφως, το 	twilight (after sunset)
λύπη, στεναχώρια, η 	sadness
λυπημένο (-νη, -νος)	sad, unhappy, melancholy [aj]
λυώνω	melt [v]
λωρίδα, η 	stripe
μαγεία, η 	magic, sorcery
μαγειρεύω	cook [v]
μάγισσα, η 	witch
μαγνήτης, ο 	magnet
μάγος, ο 	sorcerer
μάγουλο, το 	cheek
μάζα, η 	1. mass 2. lump, clod, blob
μαζεύω, συλλέγω	gather, collect [v]
μαζί	together [av]
μαθαίνω	learn [v]
μαϊμού, η 	monkey
μακρύ (-ριά, -ρύς)	long [aj]
μακρυά, μακριά	far [av]
μακρυνό (-νή, -νός)	far [aj]
μαλακό (-κιά, -κός)	soft, malleable [aj]
μαλλί, το 	wool
μαλλιά, τα 	hair (atop one's head, collectively)
μανιτάρι, το 	mushroom
μανταρίνι, το 	mandarin, tangerine
μαντεύω	guess, conjecture [v]
μαξιλάρι, το 	pillow, cushion
μαρούλι, το 	lettuce
μαστός, ο, στήθος, το	breast
μάτι, το 	eye
ματς, το 	game, match
μαύρο (-ρη, -ρος)	black [aj]
μαχαίρι, το 	knife
μαχαιρώνω	stab, jab [v]
με	with (accompanied by) [pr]
μεγάλο (-λη, -λος)	big, large [aj]
μεγαλώνω	grow [v]
μέγεθος, το 	size
μέγιστο (-τη, -τος)	most (the largest quantity of) [aj]
μέθοδος, η 	method
μειονότητα, η 	minority
μελαγχολία, η 	melancholy
μελάνη, η 	ink
μελετάω	study [v]
μέλι, το 	honey
μέλισσα, η 	bee
μέλλον, το 	future (not past or present)
μέλλοντας, ο 	future (tense)
μέλος, το 	1. member (of group/organization) 2. limb
μέντα, η 	mint
μεντεσές, ο 	hinge
μένω, παραμένω	remain, stay [v]
μερίδα, η 	allocation, allotment, portion
μερόνυχτο, εικοσιτετράωρο, το 	day (24-hour period)
μέρος, το 	part
μέσα	1. inside [av] 2. means
μέσα, μίντια, τα 	media
μεσάνυχτα, τα 	midnight
μέση, η 	1. waist 2. middle
μεσημέρι, το 	noon
μέσο, ενδιάμεσο, το 	1. middle, in-between 2. average
μετά	1. after (later than) [av]
μετά, διά	by means of, via, together with [pr]
μεταβάλλω	vary [v]
μεταθέτω	translocate [v]
μετακινώ, κινώ	move [v]
μετάλλευμα, το 	mineral, ore
μέταλλο, το 	metal
μετανοιώνω	regret [v]
μετάξι, το 	silk
μεταφέρω	carry [v]
μετράω	1. count, enumerate [v] 2. measure [v]
μετριόφρον (-ρων, -ρων)	modest [aj]
μέτωπο, το 	forehead
μηδέν	zero [num]
μήκος, το 	length
μήλο, το 	apple
μήνας, ο 	month
μήνυμα, το 	message
μητέρα, η 	mother
μηχανή, η 	1. engine 2. machine
μικρό (-ρή, -ρός)	small [aj]
μικροσκοπικό (-κή, -κός), μικρούτσικο (-κη, -κος)	tiny, minuscule [aj]
μικροσκόπιο, το 	microscope
μιλάω	speak, talk [v]
μιμούμαι	imitate, mimic [v]
μισό (-σή, -σός)	half [aj]
μισώ	hate [v]
μνημονεύω	quote, cite [v]
μόδα, η 	vogue, trend, fad, fashion
μόλυβδος, ο, μολύβι, το	lead (metal)
μολύβι, το 	pencil
μολύνω	pollute, contaminate [v]
μοναχικό (-κή, -κός)	lonely [aj]
μόνιμο (-μη, -μος)	permanent, perpetual [aj]
μόνο	only, solely [av]
μόριο, το 	molecule
μοτέρ, το 	motor
μοτοσυκλέτα, μηχανή, η 	motorcycle
μουσική, η 	music
μουστάρδα, η 	mustard
μοχλός, ο 	lever
μπαίνω, εισέρχομαι	enter, go into [v]
μπάλλα, η 	ball
μπαλόνι, το 	balloon
μπάλωμα, το 	patch
μπαμπού, το 	bamboo
μπανάνα, η 	banana
μπαρ, το, παμπ, η	bar, pub
μπάρα, η 	bar, rod, rail
μπάσκετ, το 	basketball
μπαχαρικό, το 	spice, seasoning
μπέιζμπολ, το 	baseball
μπιζέλι, το 	pea
μπιλιάρδο, το 	pool, billiards
μπίρα, το 	beer
μπλέ	blue [aj]
μπογιά, η 	paint, crayon
μπορώ	can [aux]
μπουκάλι, το 	bottle
μπουμπούκι, το 	bud (of flower/leaf)
μπουτίκ, η 	boutique
μπράτσο, το 	arm (shoulder to hand)
μπροστά από	in front of, ahead of [av]
μπρούντζος, ο 	brass
μπωλ, το 	bowl
μυαλό, το 	brain
μύγα, η 	fly (the insect)
μυθιστόρημα, το 	fiction
μύλος, ο 	mill
μυρμήγκι, το 	ant
μυρωδιά, η 	smell
μυς, ο 	muscle
μυστήριο, το 	mystery
μυστικό (-κή, -κός)	secret [aj]
μύτη, η 	nose
μωβ, βιολετί	purple, violet [aj]
μωρό, το 	baby, infant
ναι	yes
νάτριο, το 	sodium
νέα, τα 	news, tidings
νέο (νέα, νέος)	new [aj]
νέον, το 	neon
νεαρό (-ρή, -ρός)	young (of little age; having existed/lived for a brief time) [aj]
νεκρό (-ρή, -ρός)	dead [aj]
νεράιδα, η 	fairy
νερό, το 	water
νεύρο, το 	nerve
νεφρίτης, ο 	jade
νεφρό, το 	kidney
νησί, το 	island
νόημα, το, έννοια, σημασία, η	concept, meaning
νόμισμα, το 	coin
νόμος, ο 	law
νομός, ο 	county
νοσοκομείο, το 	hospital
νότος, ο 	south
νους, ο 	mind
ντομάτα, η 	tomato
ντους, ντουζ, το 	shower
ντροπή, η 	shame, embarrassment
νύχι, το 	nail (fingernail)
νύχτα, η 	night
ξαφνιάζω	surprise, startle [v]
ξαφνικό (-κή, -κός)	sudden [aj]
ξενοδοχείο, το 	hotel, inn
ξερνάω	vomit [v]
ξερό (-ρή, -ρός)	dry [aj]
ξέρω, γνωρίζω	know [v]
ξεφεύγω	escape, flee from [v]
ξεχνάω	forget [v]
ξεχύνομαι	burst [v]
ξεχωρίζω	distinguish, differentiate [v]
ξηρός καρπός, ο 	nut (hard-shelled fruit/seed)
ξύδι, το 	vinegar
ξύλο, το 	wood (the substance)
ξυνό (-νή, -νός)	sour [aj]
ξύνω	sharpen, rub, abrade [v]
ξυπνητό (-τή, -τός)	awake [aj]
ξυράφι, το 	razor
ξυρίζω	shave [v]
ο	the (masculine) [det]
οβάλ, το 	oval
οδηγώ	guide, lead [v]
οδός, η 	street
οικογένεια, η 	family
οικονόμο (-μος, -μος)	frugal, thrifty [aj]
οικονόμος (-μος)	butler, maid
οκτώ	eight [num]
όλο (όλη, όλος)	all [aj]
ολόκληρο (-ρη, -ρος)	whole, entire, complete [aj]
ομάδα, η 	1. team (sports) 2. group, crew, squad
ομίχλη, η 	fog
όμορφο (-φη, -φος)	beautiful, handsome, good looking [aj]
ομπρέλλα, η 	umbrella
ομφαλός, αφαλός, ο 	navel
όνειρο, το 	dream
όνομα, το 	name
όξινο (-νη, -νος)	acidic [aj]
οξύ, το 	acid
οξύ (οξεία, οξύς)	sharp, keen, pointy, acute [aj]
οξυγόνο, το 	oxygen
όπλο, το 	gun, weapon
οργανισμός, ο 	1. organism 2. organization
όργανο, το 	organ
οργανώνω	organize, organise [v]
οργάνωση, η 	1. organization 2. sect (religious)
ορθογώνιο, το 	rectangle
οριζόντιο (-ια, -ιος)	horizontal [aj]
όριο, το 	limit
όρμος, ο 	bay
όρος, το 	mount (mass of land)
όρος, ο 	condition, term, provision
οσμή, η 	odor
οτι	that (complementizer) [cj]
ότι	whatever [aj]
ουδέτερο (-ρη, -ρος)	neuter [aj]
ουρά, η 	tail
ουράνιο τόξο, το 	rainbow
ουρανός, ο 	sky, heaven, celestial realm
όφις, ο 	serpent
όχημα, το 	vehicle
όχι	no
όψη, η 	face, appearance
πάγος, ο 	ice
παγίδα, η 	trap
παγωμένο (-νη, -νος)	chilly, frigid [aj]
παγώνω	freeze [v]
παθητική, η 	passive (voice)
παιδί, το 	child
παίζω	1. play, recreate, frolic [v] 2. play (musical instrument) [v]
παινεύω	praise, compliment, laud [v]
παίρνω	take [v]
παιχνίδι, το 	1. game 2. toy
παλάμη, η 	palm (of hand)
παλεύω	wrestle [v]
πάλι, ξανα-	again, re- [av]
παλίρροια, η 	tide
παλιό (-ιά, -ιός)	old (existing for a long time) [aj]
παλτό, το 	coat
πανί, το 	cloth
πανεπιστήμιο, το 	university
πανηγυρίζω	celebrate, rejoice [v]
πάντα	always [av]
παντελόνι, το 	pants, trousers
πάνω	above, over [av]
πάνω, άνω	up [av]
πανωφόρι, το 	jacket
παπάς, ιερεύς, ο 	priest, clergyman
παπούτσι, το 	shoe
παράδειγμα, το 	example
παράδεισος, ο 	paradise
παραδέχομαι, ομολογώ	admit, confess [v]
παράδοση, η 	1. submission, surrender 2. tradition
παράθυρο, το 	window
παραιτούμαι	resign [v]
παράλληλο (-λη, -λος)	parallel [aj]
παράξενο (-νη, -νος), περίεργο (-γη, -γος)	strange, weird, unusual, peculiar [aj]
παρακείμενος, ο 	perfect (tense)
παρατατικός, ο 	imperfect (tense)
